﻿Vessel Name,Port Call Type,Port Type,Current Port,Ata/atd,Time At Port,Destination Port,Voyage Origin Port,Voyage Time Underway,Voyage Distance Travelled,Leg Start Port/anch,Leg Time Underway,Leg Distance Travelled,Load Condition,In Transit Port Calls,My Fleets
ASIA ENERGY,ARRIVAL,Port,BARROW ISLAND,2018-08-24 00:44:00,-,,BARROW ISLAND,23d 23h 1m,9139,BARROW ISLAND,23d 23h 1m,9139,In Ballast,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Port,BARROW ISLAND,2018-08-22 16:17:00,-,,ZHUHAI,16d 6h 46m,3295,DAMPIER ANCH,7h 37m,60,Partially Laden,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Port,ASHBURTON,2018-08-22 09:02:00,-,,XIUYU,18d 23h 47m,3763,DAMPIER ANCH,1d 25m,291,Partially Laden,Not in Transit,Chevron Shipping
ASIA ENDEAVOUR,ARRIVAL,Port,KISARAZU,2018-08-18 00:52:00,-,,ASHBURTON,14d 22h 51m,4164,ASHBURTON,14d 22h 51m,4164,Laden,Not in Transit,Chevron Shipping
ASIA EXCELLENCE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-16 06:23:00,-,,ZHUHAI,9d 20h 52m,3228,ZHUHAI,9d 20h 52m,3228,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Anchorage,KAWASAKI ANCH,2018-08-16 03:24:00,-,,KAWASAKI,3m,1,KAWASAKI,3m,1,Partially Laden,Not in Transit,Chevron Shipping
ASIA INTEGRITY,ARRIVAL,Port,KAWASAKI,2018-08-15 00:57:00,-,,ASHBURTON,18d 23h 57m,4376,DAMPIER ANCH,10d 16h 37m,4211,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-15 00:44:00,-,,BARROW ISLAND,6h 16m,62,BARROW ISLAND,6h 16m,62,Laden,Not in Transit,Chevron Shipping
ASIA VISION,ARRIVAL,Port,BARROW ISLAND,2018-08-13 05:18:00,-,,PYEONGTAEK,32d 23h 44m,4194,DAMPIER ANCH,2d 22h 54m,463,In Ballast,Not in Transit,Chevron Shipping
ASIA VENTURE,ARRIVAL,Anchorage,DAMPIER ANCH,2018-08-13 01:51:00,-,,XIUYU,9d 16h 36m,3470,XIUYU,9d 16h 36m,3470,Partially Laden,Not in Transit,Chevron Shipping
